PWM,RPM,I_a,T_m,K_t,,t_neg,rpm_neg,PWM,RPM,I_a,T,,,,,,,,
0,0,0,0,0.3868,cw,-0.44482,-55,122,43,1.12,0.433216,0.3868,ccw,,,,,,
2,0,0,,0.3868,,-0.452556,-58,124,46,1.14,0.440952,0.3868,,,,,,,
4,0,0,,0.3868,,-0.460292,-61,126,48,1.16,0.448688,0.3868,,,,,,,
6,0,0,,0.3868,,-0.46416,-64,128,50,1.18,0.456424,0.3868,,,,,,,
8,0,0,,0.3868,,-0.471896,-67,130,54,1.21,0.468028,0.3868,,,,,,,
10,0,0.005,,0.3868,,-0.475764,-70,132,56,1.23,0.475764,0.3868,,,,,,,
12,0,0.01,,0.3868,,-0.4835,-73,134,59,1.25,0.4835,0.3868,,,,,,,
14,0,0.02,,0.3868,,-0.491236,-76,136,61,1.26,0.487368,0.3868,,,,,,,
16,0,0.03,,0.3868,,-0.498972,-78,138,63,1.28,0.495104,0.3868,,,,,,,
18,0,0.035,,0.3868,,-0.50284,-82,140,66,1.3,0.50284,0.3868,,,,,,,
20,0,0.04,,0.3868,,-0.510576,-84,142,68,1.32,0.510576,0.3868,,,,,,,
22,0,0.055,,0.3868,,-0.518312,-87,144,71,1.36,0.526048,0.3868,,,,,,,
24,0,0.065,,0.3868,,-0.52218,-91,146,74,1.35,0.52218,0.3868,,,,,,,
26,0,0.08,,0.3868,,-0.526048,-94,148,76,1.37,0.529916,0.3868,,,,,,,
28,0,0.09,,0.3868,,-0.537652,-97,150,79,1.38,0.533784,0.3868,,,,,,,
30,0,0.1,,0.3868,,-0.54152,-102,152,81,1.4,0.54152,0.3868,,,,,,,
32,0,0.15,,0.3868,,-0.549256,-103,154,84,1.41,0.545388,0.3868,,,,,,,
34,0,0.13,,0.3868,,-0.549256,-107,156,86,1.42,0.549256,0.3868,,,,,,,
36,0,0.14,,0.3868,,-0.553124,-109,158,89,1.44,0.556992,0.3868,,,,,,,
38,0,0.16,,0.3868,,-0.556992,-113,160,91,1.45,0.56086,0.3868,,,,,,,
40,0,0.175,,0.3868,,-0.56086,-117,162,95,1.48,0.572464,0.3868,,,,,,,
42,0,0.19,,0.3868,,-0.564728,-120,164,98,1.49,0.576332,0.3868,,,,,,,
44,0,0.21,,0.3868,,-0.568596,-123,166,101,1.5,0.5802,0.3868,,,,,,,
46,0,0.23,,0.3868,,-0.572464,-125,168,103,1.51,0.584068,0.3868,,,,,,,
48,0,0.25,,0.3868,,-0.576332,-129,170,106,1.52,0.587936,0.3868,,,,,,,
50,0,0.265,,0.3868,,-0.5802,-132,172,109,1.53,0.591804,0.3868,,,,,,,
52,0,0.285,,0.3868,,-0.584068,-135,174,112,1.55,0.59954,0.3868,,,,,,,
54,0,0.31,,0.3868,,-0.584068,-138,176,115,1.54,0.595672,0.3868,,,,,,,
56,0,0.33,,0.3868,,-0.587936,-140,178,117,1.55,0.59954,0.3868,,,,,,,
58,0,0.35,,0.3868,,-0.587936,-145,180,120,1.56,0.603408,0.3868,,,,,,,
60,0,0.37,,0.3868,,-0.591804,-147,182,122,1.57,0.607276,0.3868,,,,,,,
62,0,0.39,,0.3868,,-0.595672,-151,184,125,1.58,0.611144,0.3868,,,,,,,
64,0,0.41,,0.3868,,-0.595672,-155,186,128,1.58,0.611144,0.3868,,,,,,,
66,0,0.44,,0.3868,,-0.59954,-158,188,131,1.59,0.615012,0.3868,,,,,,,
68,0,0.46,,0.3868,,-0.603408,-161,190,134,1.6,0.61888,0.3868,,,,,,,
70,0,0.49,,0.3868,,-0.59954,-164,192,137,1.61,0.622748,0.3868,,,,,,,
72,0,0.51,,0.3868,,-0.603408,-168,194,140,1.61,0.622748,0.3868,,,,,,,
74,0,0.535,,0.3868,,-0.59954,-171,196,144,1.61,0.622748,0.3868,,,,,,,
76,0,0.56,,0.3868,,,,198,147,1.62,0.626616,0.3868,,,,,,,
78,0,0.59,,0.3868,,,,200,150,1.63,0.630484,0.3868,,,,,,,
80,0,0.61,,0.3868,,,,126,,1.15,,0.3868,,,-1,,,,
82,0,0.64,,0.3868,,,,128,,1.17,,0.3868,,cw,-1,,,55,0.44482
84,0,0.67,,0.3868,,,,130,,1.19,,0.3868,,,-1,,,58,0.452556
86,0,0.69,,0.3868,,,,132,,1.2,,0.3868,,,-1,,,61,0.460292
88,0,0.72,,0.3868,,,,134,,1.22,,0.3868,,,-1,,,64,0.46416
90,0,0.75,,0.3868,,,,136,,1.23,,0.3868,,,-1,,,67,0.471896
92,0,0.78,,0.3868,,,,138,,1.25,,0.3868,,,-1,,,70,0.475764
94,0,0.81,,0.3868,,,,140,,1.27,,0.3868,,,-1,,,73,0.4835
96,0,0.85,,0.3868,,,,142,,1.29,,0.3868,,,-1,,,76,0.491236
98,0,0.87,,0.3868,,,,144,,1.3,,0.3868,,,-1,,,78,0.498972
100,0,0.9,,0.3868,,,,146,,1.32,,0.3868,,,-1,,,82,0.50284
102,0,0.93,,0.3868,,,,148,,1.34,,0.3868,,,-1,,,84,0.510576
104,0,0.96,,0.3868,,,,150,,1.35,,0.3868,,,-1,,,87,0.518312
106,0,0.995,,0.3868,,,,152,,1.36,,0.3868,,,-1,,,91,0.52218
108,0,1.03,,0.3868,,,,154,,1.39,,0.3868,,,-1,,,94,0.526048
110,0,1.06,,0.3868,,,,156,,1.4,,0.3868,,,-1,,,97,0.537652
112,0,1.09,,0.3868,,,,158,,1.42,,0.3868,,,-1,,,102,0.54152
114,0,1.13,,0.3868,,,,160,,1.42,,0.3868,,,-1,,,103,0.549256
116,0,1.16,,0.3868,,,,162,,1.43,,0.3868,,,-1,,,107,0.549256
118,0,1.19,,0.3868,,,,164,,1.44,,0.3868,,,-1,,,109,0.553124
120,0,1.23,,0.3868,,,,166,,1.45,,0.3868,,,-1,,,113,0.556992
122,0,1.29,,0.3868,,,,168,,1.46,,0.3868,,,-1,,,117,0.56086
124,53,1.11,,0.3868,,,,170,,1.47,,0.3868,,,-1,,,120,0.564728
,,,,,,,,172,,1.48,,0.3868,,,-1,,,123,0.568596
,,,,,,,,174,,1.49,,0.3868,,,-1,,,125,0.572464
,,,,,,,,176,,1.5,,0.3868,,,-1,,,129,0.576332
,,,,,,,,178,,1.51,,0.3868,,,-1,,,132,0.5802
,,,,,,,,180,,1.51,,0.3868,,,-1,,,135,0.584068
,,,,,,,,182,,1.52,,0.3868,,,-1,,,138,0.584068
,,,,,,,,184,,1.52,,0.3868,,,-1,,,140,0.587936
,,,,,,,,186,,1.53,,0.3868,,,-1,,,145,0.587936
,,,,,,,,188,,1.54,,0.3868,,,-1,,,147,0.591804
,,,,,,,,190,,1.54,,0.3868,,,-1,,,151,0.595672
,,,,,,,,192,,1.55,,0.3868,,,-1,,,155,0.595672
,,,,,,,,194,,1.56,,0.3868,,,-1,,,158,0.59954
,,,,,,,,196,,1.55,,0.3868,,,-1,,,161,0.603408
,,,,,,,,198,,1.56,,0.3868,,,-1,,,164,0.59954
,,,,,,,,200,,1.55,,0.3868,,,-1,,,168,0.603408
,,,,,,,,,,,,,,,-1,,,171,0.59954
